000000001,1,3
000000002,2,3
000000010,1,6
000000011,1,10
000000012,1,3
000000013,1,3
000000020,2,6
000000021,2,3
000000022,2,10
000000023,2,3
000000100,1,9
000000101,1,13
000000102,1,6
000000103,1,6
000000110,1,17
000000111,1,21
000000112,1,10
000000113,1,10
000000120,1,3
000000121,1,3
000000122,1,3
000000123,1,3
000000133,1,3
000000200,2,9
000000201,2,6
000000202,2,13
000000203,2,6
000000210,2,3
000000211,2,3
000000212,2,3
000000213,2,3
000000220,2,17
000000221,2,10
000000222,2,21
000000223,2,10
000000233,2,3
000001000,1,12
000001001,1,16
000001002,1,9
000001003,1,9
000001010,1,20
000001011,1,24
000001012,1,13
000001013,1,13
000001020,1,6
000001021,1,6
000001022,1,6
000001023,1,6
000001033,1,6
000001100,1,24
000001101,1,28
000001102,1,17
000001103,1,17
000001110,1,32
000001111,1,36
000001112,1,21
000001113,1,21
000001120,1,10
000001121,1,10
000001122,1,10
000001123,1,10
000001133,1,10
000001200,1,3
000001201,1,3
000001202,1,3
000001203,1,3
000001210,1,3
000001211,1,3
000001212,1,3
000001213,1,3
000001220,1,3
000001221,1,3
000001222,1,3
000001223,1,3
000001233,1,3
000001333,1,3
000002000,2,12
000002001,2,9
000002002,2,16
000002003,2,9
000002010,2,6
000002011,2,6
000002012,2,6
000002013,2,6
000002020,2,20
000002021,2,13
000002022,2,24
000002023,2,13
000002033,2,6
000002100,2,3
000002101,2,3
000002102,2,3
000002103,2,3
000002110,2,3
000002111,2,3
000002112,2,3
000002113,2,3
000002120,2,3
000002121,2,3
000002122,2,3
000002123,2,3
000002133,2,3
000002200,2,24
000002201,2,17
000002202,2,28
000002203,2,17
000002210,2,10
000002211,2,10
000002212,2,10
000002213,2,10
000002220,2,32
000002221,2,21
000002222,2,36
000002223,2,21
000002233,2,10
000002333,2,3
000010000,1,15
000010001,1,19
000010002,1,12
000010003,1,12
000010010,1,23
000010011,1,27
000010012,1,16
000010013,1,16
000010020,1,9
000010021,1,9
000010022,1,9
000010023,1,9
000010033,1,9
000010100,1,27
000010101,1,31
